ID,Year,Mnth,Day,Flow0,SYM
13340000,1981,8,23,1800.0,A
13340000,1981,8,24,1730.0,A
13340000,1981,8,25,1660.0,A
13340000,1981,8,26,1610.0,A
13340000,1981,8,27,1570.0,A
13340000,1981,8,28,1530.0,A
13340000,1981,8,29,1500.0,A
13340000,1981,8,30,1500.0,A
13340000,1981,8,31,1840.0,A
13340000,1981,9,1,2030.0,A
13340000,1981,9,2,1850.0,A
13340000,1981,9,3,1860.0,A
13340000,1981,9,4,1760.0,A
13340000,1981,9,5,1620.0,A
13340000,1981,9,6,1550.0,A
13340000,1981,9,7,1500.0,A
13340000,1981,9,8,1450.0,A
13340000,1981,9,9,1400.0,A
13340000,1981,9,10,1350.0,A
13340000,1981,9,11,1310.0,A
13340000,1981,9,12,1290.0,A
13340000,1981,9,13,1280.0,A
13340000,1981,9,14,1250.0,A
13340000,1981,9,15,1220.0,A
13340000,1981,9,16,1180.0,A
13340000,1981,9,17,1170.0,A
13340000,1981,9,18,1150.0,A
13340000,1981,9,19,1110.0,A
13340000,1981,9,20,1130.0,A
13340000,1981,9,21,1280.0,A
13340000,1981,9,22,1350.0,A
13340000,1981,9,23,1350.0,A
13340000,1981,9,24,1300.0,A
13340000,1981,9,25,1270.0,A
13340000,1981,9,26,1380.0,A
13340000,1981,9,27,1630.0,A
13340000,1981,9,28,2370.0,A
13340000,1981,9,29,3200.0,A
13340000,1981,9,30,2460.0,A
13340000,1981,10,1,1950.0,A
13340000,1981,10,2,1700.0,A
13340000,1981,10,3,1690.0,A
13340000,1981,10,4,1710.0,A
13340000,1981,10,5,1640.0,A
13340000,1981,10,6,1570.0,A
13340000,1981,10,7,1510.0,A
13340000,1981,10,8,1600.0,A
13340000,1981,10,9,1720.0,A
13340000,1981,10,10,1870.0,A
13340000,1981,10,11,2400.0,A
13340000,1981,10,12,3140.0,A
13340000,1981,10,13,2640.0,A
13340000,1981,10,14,2160.0,A
13340000,1981,10,15,1910.0,A
13340000,1981,10,16,1790.0,A
13340000,1981,10,17,1720.0,A
13340000,1981,10,18,1670.0,A
13340000,1981,10,19,1630.0,A
13340000,1981,10,20,1600.0,A
13340000,1981,10,21,1570.0,A
13340000,1981,10,22,1520.0,A
13340000,1981,10,23,1470.0,A
13340000,1981,10,24,1430.0,A
13340000,1981,10,25,1480.0,A
13340000,1981,10,26,1560.0,A
13340000,1981,10,27,1900.0,A
13340000,1981,10,28,2300.0,A
13340000,1981,10,29,2120.0,A
13340000,1981,10,30,2010.0,A
13340000,1981,10,31,1990.0,A
13340000,1981,11,1,1950.0,A
13340000,1981,11,2,1910.0,A
13340000,1981,11,3,1870.0,A
13340000,1981,11,4,1800.0,A
13340000,1981,11,5,1770.0,A
13340000,1981,11,6,1710.0,A
13340000,1981,11,7,1670.0,A
13340000,1981,11,8,1630.0,A
13340000,1981,11,9,1600.0,A
13340000,1981,11,10,1570.0,A
13340000,1981,11,11,1510.0,A
13340000,1981,11,12,1550.0,A
13340000,1981,11,13,2120.0,A
13340000,1981,11,14,2490.0,A
13340000,1981,11,15,2420.0,A
13340000,1981,11,16,2250.0,A
13340000,1981,11,17,2320.0,A
13340000,1981,11,18,3590.0,A
13340000,1981,11,19,3570.0,A
13340000,1981,11,20,2800.0,A
13340000,1981,11,21,2470.0,A
13340000,1981,11,22,3200.0,A
13340000,1981,11,23,3800.0,A
13340000,1981,11,24,3360.0,A
13340000,1981,11,25,3080.0,A
13340000,1981,11,26,2800.0,A
13340000,1981,11,27,2400.0,A
13340000,1981,11,28,2160.0,A
13340000,1981,11,29,1990.0,A
13340000,1981,11,30,1730.0,A
13340000,1981,12,1,2040.0,A
13340000,1981,12,2,2390.0,A
13340000,1981,12,3,3610.0,A
13340000,1981,12,4,3080.0,A
13340000,1981,12,5,2630.0,A
13340000,1981,12,6,3430.0,A
13340000,1981,12,7,5460.0,A
13340000,1981,12,8,4880.0,A
13340000,1981,12,9,4000.0,A
13340000,1981,12,10,3870.0,A
13340000,1981,12,11,4190.0,A
13340000,1981,12,12,3700.0,A
13340000,1981,12,13,3060.0,A
