x,y,SPEED_MAX_GUST,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,LOCAL_YEAR,LOCAL_MONTH,PROVINCE_CODE,DIRECTION_MAX_GUST_FLAG,STATION_NAME,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY,TOTAL_SNOW_FLAG,TOTAL_RAIN_FLAG,LOCAL_DATE,TOTAL_SNOW,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MAX_TEMPERATURE,LOCAL_DAY,HEATING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST,TOTAL_RAIN,CLIMATE_IDENTIFIER,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,ID,MIN_TEMPERATURE
-118.02972222222222,52.92638888888889,0,,0.2,,1994,5,AB,,JASPER WARDEN,,7.8,,M,M,1994-05-22 00:00:00,,,,17.1,22,,,,10.2,,0,,3053536,,0,,,3053536.1994.5.22,3.3
-118.02972222222222,52.92638888888889,0,,0,,1994,5,AB,,JASPER WARDEN,,4.9,,M,M,1994-05-23 00:00:00,,,,19.7,23,,,,13.1,,0,,3053536,,0,,,3053536.1994.5.23,6.5
-118.02972222222222,52.92638888888889,0,,0,,1994,5,AB,,JASPER WARDEN,,5,,M,M,1994-05-24 00:00:00,,,,22.6,24,,,,13,,0,,3053536,,0,,,3053536.1994.5.24,3.4
-118.02972222222222,52.92638888888889,43,,0,,1994,5,AB,,JASPER WARDEN,,5.3,,M,M,1994-05-25 00:00:00,,,,22.9,25,,,,12.7,,26,,3053536,,0,,,3053536.1994.5.25,2.5
-118.02972222222222,52.92638888888889,32,,0,,1994,5,AB,,JASPER WARDEN,,5.8,,M,M,1994-05-26 00:00:00,,,,21.4,26,,,,12.2,,18,,3053536,,0,,,3053536.1994.5.26,2.9
-118.02972222222222,52.92638888888889,33,,6.1,,1994,5,AB,,JASPER WARDEN,,10.2,,M,M,1994-05-27 00:00:00,,,,13.4,27,,,,7.8,,24,,3053536,,0,,,3053536.1994.5.27,2.2
-118.02972222222222,52.92638888888889,37,,0,,1994,5,AB,,JASPER WARDEN,,11.3,,M,M,1994-05-28 00:00:00,,,,15.1,28,,,,6.7,,18,,3053536,,0,,,3053536.1994.5.28,-1.7
-118.02972222222222,52.92638888888889,33,,0,,1994,5,AB,,JASPER WARDEN,,9.6,,M,M,1994-05-29 00:00:00,,,,14.1,29,,,,8.4,,15,,3053536,,0,,,3053536.1994.5.29,2.6
-118.02972222222222,52.92638888888889,0,,0,,1994,5,AB,,JASPER WARDEN,,8.3,,M,M,1994-05-30 00:00:00,,,,15.8,30,,,,9.7,,0,,3053536,,0,,,3053536.1994.5.30,3.5
-118.02972222222222,52.92638888888889,0,,0,,1994,5,AB,,JASPER WARDEN,,7.2,,M,M,1994-05-31 00:00:00,,,,24.8,31,,,,10.8,,0,,3053536,,0,,,3053536.1994.5.31,-3.2
-118.02972222222222,52.92638888888889,32,,0,,1994,6,AB,,JASPER WARDEN,,5.2,,M,M,1994-06-01 00:00:00,,,,17,1,,,,12.8,,24,,3053536,,0,,,3053536.1994.6.1,8.6
-118.02972222222222,52.92638888888889,0,,0,,1994,6,AB,,JASPER WARDEN,,8.7,,M,M,1994-06-02 00:00:00,,,,20.9,2,,,,9.3,,0,,3053536,,0,,,3053536.1994.6.2,-2.3
-118.02972222222222,52.92638888888889,35,,0,,1994,6,AB,,JASPER WARDEN,,4.7,,M,M,1994-06-03 00:00:00,,,,23.6,3,,,,13.3,,23,,3053536,,0,,,3053536.1994.6.3,2.9
-118.02972222222222,52.92638888888889,41,,6,,1994,6,AB,,JASPER WARDEN,,7.2,,M,M,1994-06-04 00:00:00,,,,22.2,4,,,,10.8,,34,,3053536,,0,,,3053536.1994.6.4,-0.7
-118.02972222222222,52.92638888888889,0,,3.6,,1994,6,AB,,JASPER WARDEN,,3.9,,M,M,1994-06-05 00:00:00,,,,20.7,5,,,,14.1,,0,,3053536,,0,,,3053536.1994.6.5,7.4
-118.02972222222222,52.92638888888889,0,,0.6,,1994,6,AB,,JASPER WARDEN,,6,,M,M,1994-06-06 00:00:00,,,,18.5,6,,,,12,,0,,3053536,,0,,,3053536.1994.6.6,5.5
-118.02972222222222,52.92638888888889,0,,7.2,,1994,6,AB,,JASPER WARDEN,,6.8,,M,M,1994-06-07 00:00:00,,,,15.1,7,,,,11.2,,0,,3053536,,0,,,3053536.1994.6.7,7.2
-118.02972222222222,52.92638888888889,0,,16.8,,1994,6,AB,,JASPER WARDEN,,10.9,,M,M,1994-06-08 00:00:00,,,,9.8,8,,,,7.1,,0,,3053536,,0,,,3053536.1994.6.8,4.4
-118.02972222222222,52.92638888888889,44,,0.4,,1994,6,AB,,JASPER WARDEN,,6.6,,M,M,1994-06-09 00:00:00,,,,17.2,9,,,,11.4,,31,,3053536,,0,,,3053536.1994.6.9,5.5
