LOCAL_DATE3,DIRECTION_MAX_GUST3,SPEED_MAX_GUST3,COOLING_DEGREE_DAYS3,HEATING_DEGREE_DAYS3,MAX_REL_HUMIDITY3,MIN_REL_HUMIDITY3,TOTAL_PRECIPITATION3,TOTAL_RAIN3,TOTAL_SNOW3,SNOW_ON_GROUND3,MAX_TEMPERATURE3,MEAN_TEMPERATURE3,MIN_TEMPERATURE3
9/4/1971,,,0,6.9,,,7.4,7.4,0,0,12.8,11.1,9.4
9/5/1971,,,0,6.3,,,3.8,3.8,0,0,15,11.7,8.3
9/6/1971,,,0,9.9,,,1,1,0,0,14.4,8.1,1.7
9/7/1971,,,0,10.2,,,4.8,4.8,0,0,11.1,7.8,4.4
9/8/1971,,,0,9.7,,,0,0,0,0,14.4,8.3,2.2
9/9/1971,,,0,12.7,,,0,0,0,0,12.8,5.3,-2.2
9/10/1971,,,0,10.5,,,6.9,6.9,0,0,10.6,7.5,4.4
9/11/1971,,,0,9.1,,,0.5,0.5,0,0,13.3,8.9,4.4
9/12/1971,,,0,8.8,,,1.8,1.8,0,0,11.7,9.2,6.7
9/13/1971,,,0,9.4,,,1.3,1.3,0,0,13.3,8.6,3.9
9/14/1971,,,0,11.3,,,0,0,0,0,13.9,6.7,-0.6
9/15/1971,,,0,11.6,,,0,0,0,0,13.9,6.4,-1.1
9/16/1971,,,0,12.7,,,0,0,0,0,13.9,5.3,-3.3
9/17/1971,,,0,10.2,,,0,0,0,0,17.8,7.8,-2.2
9/18/1971,,,0,7.2,,,0,0,0,0,18.3,10.8,3.3
9/19/1971,,,0,11.8,,,1,1,0,0,11.7,6.2,0.6
9/20/1971,,,0,13,,,0,0,0,0,11.7,5,-1.7
9/21/1971,,,0,9.9,,,0,0,0,0,16.7,8.1,-0.6
9/22/1971,,,0,9.4,,,0,0,0,0,18.3,8.6,-1.1
9/23/1971,,,0,11.3,,,0,0,0,0,12.8,6.7,0.6
9/24/1971,,,0,10.8,,,0.3,0.3,0,0,13.3,7.2,1.1
9/25/1971,,,0,10.5,,,0,0,0,0,8.9,7.5,6.1
9/26/1971,,,0,11.6,,,0,0,0,0,8.3,6.4,4.4
9/27/1971,,,0,13.5,,,3.6,3.6,0,0,6.1,4.5,2.8
9/28/1971,,,0,14.1,,,0,0,0,0,5.6,3.9,2.2
9/29/1971,,,0,14.6,,,0,0,0,0,5.6,3.4,1.1
9/30/1971,,,0,16.9,,,5.3,5.3,0,0,4.4,1.1,-2.2
10/1/1971,,,0,13,,,0,0,0,0,9.4,5,0.6
10/2/1971,,,0,9.4,,,8.9,8.9,0,0,11.1,8.6,6.1
10/3/1971,,,0,8.5,,,5.8,5.8,0,0,12.8,9.5,6.1
10/4/1971,,,0,9.6,,,3.3,3.3,0,0,11.1,8.4,5.6
10/5/1971,,,0,6.8,,,0,0,0,0,15.6,11.2,6.7
10/6/1971,,,0,10.5,,,0.3,0.3,0,0,13.3,7.5,1.7
10/7/1971,,,0,13.5,,,0,0,0,0,12.2,4.5,-3.3
10/8/1971,,,0,9.7,,,0,0,0,0,18.3,8.3,-1.7
10/9/1971,,,0,12.4,,,0,0,0,0,11.7,5.6,-0.6
10/10/1971,,,0,11.6,,,0,0,0,0,16.1,6.4,-3.3
10/11/1971,,,0,11.9,,,0,0,0,0,12.2,6.1,0
10/12/1971,,,0,15.5,,,6.6,5.6,1,0,7.8,2.5,-2.8
10/13/1971,,,0,14.3,,,0,0,0,0,6.7,3.7,0.6
10/14/1971,,,0,15.8,,,0,0,0,0,5,2.2,-0.6
10/15/1971,,,0,18,,,0,0,0,0,5,0,-5
10/16/1971,,,0,18,,,1.8,0,1.8,0,4.4,0,-4.4
10/17/1971,,,0,16.3,,,1.3,0.5,0.8,3,3.3,1.7,0
10/18/1971,,,0,16.6,,,0,0,0,0,4.4,1.4,-1.7
10/19/1971,,,0,19.1,,,4.8,0,4.8,0,2.8,-1.1,-5
10/20/1971,,,0,16.6,,,0.5,0,0.5,5,2.8,1.4,0
10/21/1971,,,0,16,,,2,1,1,0,5,2,-1.1
10/22/1971,,,0,13,,,0.8,0.8,0,0,8.9,5,1.1
10/23/1971,,,0,14.3,,,0,0,0,0,6.7,3.7,0.6
10/24/1971,,,0,16.6,,,3.8,2.5,1.3,0,2.8,1.4,0
10/25/1971,,,0,19.9,,,3.6,0,3.6,0,0.6,-1.9,-4.4
10/26/1971,,,0,23.3,,,6.6,0,6.6,10,-2.2,-5.3,-8.3
10/27/1971,,,0,28,,,0.3,0,0.3,8,-4.4,-10,-15.6
10/28/1971,,,0,27.4,,,0,0,0,8,-4.4,-9.4,-14.4
10/29/1971,,,0,20,,,1.5,0,1.5,8,1.7,-2,-5.6
10/30/1971,,,0,20.2,,,0.5,0,0.5,5,1.7,-2.2,-6.1
10/31/1971,,,0,19.7,,,12.7,0,12.7,5,0,-1.7,-3.3
11/1/1971,,,0,20,,,12.2,0,12.2,18,0,-2,-3.9
11/2/1971,,,0,21.1,,,2,0,2,25,0,-3.1,-6.1
